rank,company,return_5y_pct,return_10y_pct,stoxx_ticker,yf_ticker,idBbCompany
1,argenx SE,226.0,6000.5,ARGX-BE,ARGX.BR,17085420.0
2,Games Workshop Group PLC,101.4,4156.2,GAW-GB,GAW.L,154898.0
3,ASM International N.V.,266.2,2693.5,ASM-NL,ASM.AS,16408429.0
4,BE Semiconductor Industries N.V.,336.0,2220.7,BESI-NL,BESI.AS,180021.0
5,Swissquote Group Holding Ltd.,278.5,1985.9,SQN-CH,SQN.SW,1197447.0
6,ASML Holding NV,159.5,1550.8,ASML-NL,ASML.AS,163205.0
7,Zegona Communications Plc,1409.5,1353.7,ZEG-GB,ZEG.L,111093.0
8,VAT Group AG,198.4,1353.3,VACN-CH,VACN.SW,49328078.0
9,AIXTRON SE,208.2,1077.1,AIXA-DE,AIXA.DE,307335.0
10,Sectra AB Class B,126.5,1024.7,SECT.B-SE,SECT-B.ST,815168.0
11,STMicroelectronics NV,75.8,995.1,STMMI-IT,STMMI.MI,153916.0
12,CD Projekt S.A.,85.0,991.3,CDR-PL,CDR.WA,69580568.0
13,Addtech AB Class B,113.2,956.4,ADDT.B-SE,ADDT-B.ST,7326223.0
14,Abivax SA,385.5,903.8,ABVX-FR,ABVX.PA,45848440.0
15,Pan African Resources PLC,742.5,887.2,PAF-GB,PAF.L,117845.0
16,Antofagasta plc,125.2,840.4,ANTO-GB,ANTO.L,111100.0
17,Mycronic AB,119.1,817.4,MYCR-SE,MYCR.ST,330423.0
18,Diploma PLC,157.2,764.1,DPLM-GB,DPLM.L,111477.0
19,Lagercrantz Group AB Class B,167.5,734.3,LAGR.B-SE,LAGR-B.ST,7326215.0
20,Benefit Systems S.A.,402.8,704.0,BFT-PL,BFT.WA,24908457.0
21,Gaztransport & Technigaz SA,226.1,694.2,GTT-FR,GTT.PA,19518497.0
22,Ferrari NV,78.8,674.8,RACE-IT,RACE.MI,39232107.0
23,Prysmian S.p.A.,500.6,666.1,PRY-IT,PRY.MI,11796370.0
24,Huber + Suhner AG,398.5,656.6,HUBN-CH,HUBN.SW,118592.0
25,BELIMO Holding AG,163.6,649.7,BEAN-CH,BEAN.SW,176984.0
26,Lion Finance Group PLC,959.8,638.6,BGEO-GB,BGEO.L,60238741.0
27,UNIPOL ASSICURAZIONI SPA,404.8,638.4,UNI-IT,UNI.MI,30225746.0
28,Camurus AB,141.1,583.2,CAMX-SE,CAMX.ST,152059.0
29,NKT A/S,310.7,581.3,NKT-DK,NKT.CO,14915524.0
30,D'Ieteren Group SA/NV,178.4,563.4,DIE-BE,DIE.BR,118236.0
31,Sparebanken Norge,151.6,532.8,SBNOR-NO,SBNOR.OL,
32,Lotus Bakeries NV,130.7,524.8,LOTB-BE,LOTB.BR,118862.0
33,Aker BP ASA,76.0,504.2,AKRBP-NO,AKRBP.OL,11379990.0
34,Frontline Plc,505.3,500.3,FRO-NO,FRO.OL,18596042.0
