ticker,companyName,bics_sector,encore_score,aqueduct_score,nature_risk_raw,nature_risk_score,nature_risk_tier,nature_risk_method
ASML.AS,ASML Holding,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SAP.DE,SAP SE,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
CAP.PA,Capgemini,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
AMS.MC,Amadeus IT Group,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
HEXA-B.ST,Hexagon AB,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SIE.DE,Siemens AG,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ABBN.SW,ABB Ltd,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SU.PA,Schneider Electric,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
AIR.PA,Airbus SE,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
RR.L,Rolls-Royce Holdings,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
VWS.CO,Vestas Wind Systems,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
LR.PA,Legrand SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
