ticker,companyName,bics_sector,country,taxonomy_eligible_pct,taxonomy_aligned_pct
ASML.AS,ASML Holding,Technology,Netherlands,,
SAP.DE,SAP SE,Technology,Germany,,
CAP.PA,Capgemini,Technology,France,,
AMS.MC,Amadeus IT Group,Technology,Spain,,
HEXA-B.ST,Hexagon AB,Technology,Sweden,,
SIE.DE,Siemens AG,Industrials,Germany,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
ABBN.SW,ABB Ltd,Industrials,Switzerland,,
SU.PA,Schneider Electric,Industrials,France,,
AIR.PA,Airbus SE,Industrials,Netherlands,,
RR.L,Rolls-Royce Holdings,Industrials,UK,,
VWS.CO,Vestas Wind Systems,Industrials,Denmark,,
LR.PA,Legrand SA,Industrials,France,,
NOVN.SW,Novartis AG,Healthcare,Switzerland,,
ROG.SW,Roche Holding,Healthcare,Switzerland,,
AZN.L,AstraZeneca,Healthcare,UK,,
NOVO-B.CO,Novo Nordisk,Healthcare,Denmark,,
SAN.PA,Sanofi,Healthcare,France,,
LONN.SW,Lonza Group,Healthcare,Switzerland,,
TTE.PA,TotalEnergies SE,Energy,France,,
SHEL.L,Shell plc,Energy,UK,,
EQNR.OL,Equinor ASA,Energy,Norway,,
ORSTED.CO,Orsted AS,Utilities,Denmark,,
IBE.MC,Iberdrola SA,Utilities,Spain,,
RWE.DE,RWE AG,Utilities,Germany,,
ENEL.MI,Enel SpA,Utilities,Italy,,
BNP.PA,BNP Paribas,Financial Services,France,,
HSBA.L,HSBC Holdings,Financial Services,UK,,
INGA.AS,ING Groep,Financial Services,Netherlands,,
UCG.MI,UniCredit SpA,Financial Services,Italy,,
CS.PA,AXA SA,Financial Services,France,,
ALV.DE,Allianz SE,Financial Services,Germany,,
ZURN.SW,Zurich Insurance,Financial Services,Switzerland,,
ULVR.L,Unilever plc,Consumer Staples,UK,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
NESN.SW,Nestle SA,Consumer Staples,Switzerland,,
BN.PA,Danone SA,Consumer Staples,France,,
HEIA.AS,Heineken NV,Consumer Staples,Netherlands,,
CARL-B.CO,Carlsberg AS,Consumer Staples,Denmark,,
OR.PA,L'Oreal SA,Consumer Discretionary,France,,
MC.PA,LVMH,Consumer Discretionary,France,,
ITX.MC,Inditex,Consumer Discretionary,Spain,,
ADS.DE,Adidas AG,Consumer Discretionary,Germany,,
RI.PA,Pernod Ricard,Consumer Staples,France,,
BAS.DE,BASF SE,Materials,Germany,,
AI.PA,Air Liquide,Materials,France,,
MT.AS,ArcelorMittal,Materials,Luxembourg,,
HOLN.SW,Holcim AG,Materials,Switzerland,,
VOW3.DE,Volkswagen AG,Consumer Discretionary,Germany,,
BMW.DE,BMW AG,Consumer Discretionary,Germany,,
STLAM.MI,Stellantis NV,Consumer Discretionary,Netherlands,,
VOLV-B.ST,Volvo AB,Industrials,Sweden,,
RNO.PA,Renault SA,Consumer Discretionary,France,,
DTE.DE,Deutsche Telekom,Telecommunications,Germany,,
ORA.PA,Orange SA,Telecommunications,France,,
VOD.L,Vodafone Group,Telecommunications,UK,,
VNA.DE,Vonovia SE,Real Estate,Germany,,
GFC.PA,Gecina SA,Real Estate,France,,
